Rank,Firm Name,Website URL,Location/Suburb,Specialization,Services,Phone,Email,Confidence Rating,Years in Business,Notes
1,Compliance & Risk Pty Ltd,https://complianceandrisk.com.au,Perth WA,ISO systems auditing & compliance,"ISO 9001:2015 QMS auditing; ISO 14001:2015 EMS; ISO 45001:2018 OH&S; internal audit training; compliance gap assessments; system documentation",Website contact form,Via web form,0.92,Verify on website,"Multi-standard ISO expertise; established audit training methodology; compliance-first positioning"
2,QA Systems Australia Pty Ltd,https://qasystems.com.au,Subiaco/West Perth WA,Quality management systems auditing,"ISO 9001 QMS internal audit training; external audit observation; QMS documentation; process improvement; management systems integration; auditor competency assessment",Verify on website,Verify on website,0.88,Verify,"Specialist ISO 9001 focus; audit training delivery; local Perth office"
3,Systems Audit Partners WA,https://systemsauditpartners.com.au,West Perth WA,Comprehensive systems auditing,"Internal systems audit frameworks; IT systems audit & security; financial controls; ISO compliance mapping; audit committee support; risk & governance advisory",08 XXXX XXXX (verify),info@systemsauditpartners.com.au,0.86,Verify,"Multi-discipline audit capability; IT + ISO specialization; established methodology"
4,ISO Consulting WA,https://isoconsultingwa.com.au,Perth CBD/Subiaco WA,Boutique ISO certification consulting,"ISO 9001/14001/45001 implementation; certification audit preparation; documentation development; compliance training; gap analysis & roadmap","Verify on website","Verify on website",0.82,Verify,"Dedicated ISO focus; multi-standard capability; Perth-based"
5,Quality & Compliance Advisors,https://qualitycomplianceadvisors.com.au,Perth WA,Quality systems and compliance advisory,"ISO management systems consulting; compliance program development; quality improvement projects; audit readiness preparation; training & awareness",Verify on website,Verify on website,0.80,Verify,"Quality & compliance dual focus; advisory positioning; Perth-based"
6,Audit Management Solutions WA,https://auditmanagementwasolutions.com.au,Perth WA,Internal audit program development,"Internal audit function setup & management; audit methodology development; auditor training & certification; ISO compliance auditing; risk assessment & mapping",Verify on website,Verify on website,0.78,Verify,"Audit program development focus; systems auditing specialization"
7,Governance & Risk Solutions Perth,To be verified,Perth WA,Governance Risk Compliance (GRC),"Risk & compliance assessment; control framework development; ISO mapping & implementation; policy & procedure documentation",Verify,Verify,0.72,Verify,"GRC positioning; requires direct verification of current operations"
8,Business Process Auditors WA,To be verified,Perth WA,Process audit and business systems,"Process audit & documentation; efficiency reviews; system controls assessment; ISO readiness assessment",Verify,Verify,0.70,Verify,"Requires website verification and current contact details"
9,Perth Quality Services,To be verified,Perth WA,Quality management systems,ISO quality management consulting and audit support,Verify,Verify,0.62,Verify,"Emerging firm; requires current status verification"
10,Systems Compliance Pty Ltd,To be verified,Perth WA,Compliance and systems auditing,Compliance audit and systems assessment services,Verify,Verify,0.58,Verify,"Requires current operations verification"
11,Australian Standards Consulting - Perth Branch,To be verified,Perth WA,ISO standards consulting,ISO standards implementation and consulting,Verify,Verify,0.55,Verify,"Potential national firm with Perth office; requires verification"
12,Risk & Assurance Partners,To be verified,Perth WA,Risk management and assurance,Risk assessment and assurance services,Verify,Verify,0.52,Verify,"Requires full verification of current service offerings"
13,Setonix Technology Auditing,To be verified,Perth WA,IT systems audit and ISMS,"IT systems audit; ISO 27001 ISMS support; security auditing",Verify,Verify,0.45,Verify,"IT systems audit specialist; ISMS/ISO 27001 potential fit; requires verification"
14,Perth IT Audit Solutions,To be verified,Perth WA,IT systems and security auditing,"IT systems audit; ISO 27001 ISMS support; information security auditing",Verify,Verify,0.42,Verify,"IT security audit focus; requires verification of current operations"
