company_name,confidence_score,confidence_tier,location_city,location_state,website_url,website_verified,verification_date,primary_phone,primary_email,service_focus,leadership_structure,named_leaders,headcount_estimate,assessment_score,assessment_band,outreach_angle,outreach_ready,outreach_timeline,aicd_affiliation,board_governance_experience,msp_risk,rank,tier,status,research_actions
Dapth,0.92,HIGH_CONFIDENCE_READY,Perth,Western Australia,https://dapth.com/,true,2026-06-30,TO_BE_OBTAINED,TO_BE_OBTAINED,Digital transformation advisory and strategy,Expert-led partnership,NOT_PUBLICLY_DISCLOSED,Not available,68,MEDIUM_FIT,"Reduce expert/owner dependency; build repeatable processes",true,IMMEDIATE,RESEARCH_REQUIRED,RESEARCH_REQUIRED,None,1,VERIFIED - READY FOR OUTREACH,Ready for immediate outreach,Extract leadership names via ASIC and LinkedIn
TD Strategy & Consulting,0.92,HIGH_CONFIDENCE_PENDING,Perth,Western Australia,https://tdstrategyconsulting.com.au/,true,2026-06-30,TO_BE_OBTAINED,TO_BE_OBTAINED,Business and digital strategy advisory,To be verified,RESEARCH_REQUIRED,Not available,PENDING,PENDING,"To be determined post-assessment",false,WEEK 3-4,RESEARCH_REQUIRED,RESEARCH_REQUIRED,None,2,VERIFIED - ASSESSMENT PENDING,Assessment required before outreach,Complete service-fit assessment; Extract leadership; Verify AICD affiliation
Origin Digital,0.78,HIGH_CONFIDENCE_PENDING,West Perth,Western Australia,https://www.origindigital.com.au/,true,2026-06-30,TO_BE_OBTAINED,TO_BE_OBTAINED,Digital transformation advisory,To be verified,RESEARCH_REQUIRED,Not available,PENDING,PENDING,"To be determined post-assessment",false,WEEK 4-5,RESEARCH_REQUIRED,RESEARCH_REQUIRED,None,3,VERIFIED - ASSESSMENT PENDING,Assessment required before outreach,Complete service-fit assessment; Verify advisory vs implementation positioning; Extract leadership
Zetta,0.92,HIGH_PRIORITY_PENDING,Perth,Western Australia (expected),UNKNOWN,false,PENDING,UNKNOWN,UNKNOWN,Digital transformation (expected),UNKNOWN,UNKNOWN,UNKNOWN,NOT_ASSESSED,UNKNOWN,To be determined,false,WEEK 5+,UNKNOWN,UNKNOWN,UNKNOWN,4,PENDING_VERIFICATION - HIGH PRIORITY,Urgent verification required,ASIC ABN lookup; Alternative name search; LinkedIn company discovery
Setonix Digital,0.72,HIGH_PRIORITY_PENDING,Perth,Western Australia (expected),UNKNOWN,false,PENDING,UNKNOWN,UNKNOWN,Digital transformation (expected),UNKNOWN,UNKNOWN,UNKNOWN,NOT_ASSESSED,UNKNOWN,To be determined,false,WEEK 5+,UNKNOWN,UNKNOWN,LOW-MEDIUM,5,PENDING_VERIFICATION - HIGH PRIORITY,Urgent verification required,ASIC ABN search; LinkedIn search; Website positioning review
TI Systems,0.68,HIGH_PRIORITY_PENDING,Perth,Western Australia (expected),UNKNOWN,false,PENDING,UNKNOWN,UNKNOWN,Unknown - MSP risk flag,UNKNOWN,UNKNOWN,UNKNOWN,NOT_ASSESSED,UNKNOWN,To be determined,false,WEEK 5+,UNKNOWN,UNKNOWN,HIGH,6,PENDING_VERIFICATION - HIGH PRIORITY,Urgent verification required,ASIC search; LinkedIn; Clarify advisory vs IT support model
Royal IT,0.65,MEDIUM_PRIORITY_PENDING,Perth,Western Australia (expected),UNKNOWN,false,PENDING,UNKNOWN,UNKNOWN,Unknown - MSP risk flag,UNKNOWN,UNKNOWN,UNKNOWN,NOT_ASSESSED,UNKNOWN,To be determined,false,WEEK 5+,UNKNOWN,UNKNOWN,MEDIUM,7,PENDING_VERIFICATION - MEDIUM PRIORITY,Verification required,ASIC search; LinkedIn; Clarify advisory vs support model
Managed Digital,0.58,MEDIUM_PRIORITY_PENDING,Perth,Western Australia (expected),UNKNOWN,false,PENDING,UNKNOWN,UNKNOWN,Digital transformation (expected),UNKNOWN,UNKNOWN,UNKNOWN,NOT_ASSESSED,UNKNOWN,To be determined,false,WEEK 6+,UNKNOWN,UNKNOWN,LOW,8,PENDING_VERIFICATION - MEDIUM PRIORITY,Verification deferred,ASIC ABN search; LinkedIn search
PC Computing,0.35,LOW_PRIORITY_DEFER,Perth,Western Australia (expected),UNKNOWN,false,PENDING,UNKNOWN,UNKNOWN,Unknown - likely MSP,UNKNOWN,UNKNOWN,UNKNOWN,NOT_ASSESSED,UNKNOWN,To be determined,false,DEFER,UNKNOWN,UNKNOWN,HIGH,9,LOW_PRIORITY - DEFERRED,Low priority; defer verification,ASIC search if pursued; verify MSP vs advisory
Beyond Technology,0.35,LOW_PRIORITY_DEFER,Perth,Western Australia (expected),UNKNOWN,false,PENDING,UNKNOWN,UNKNOWN,Unknown positioning,UNKNOWN,UNKNOWN,UNKNOWN,NOT_ASSESSED,UNKNOWN,To be determined,false,DEFER,UNKNOWN,UNKNOWN,UNCERTAIN,10,LOW_PRIORITY - DEFERRED,Low priority; positioning unclear,ASIC search if pursued; research positioning
Perth Business Advisors,0.15,EXCLUDE,Perth,Western Australia,UNKNOWN,false,PENDING,UNKNOWN,UNKNOWN,Micro-consultancy,Founder-led,UNKNOWN,Micro,NOT_ASSESSED,LOW,N/A,false,EXCLUDE,UNKNOWN,UNKNOWN,NONE,11,EXCLUDED,Micro-scale; competitive overlap,Exclude from outreach
Bureau42,0.12,EXCLUDE,West Perth,Western Australia,https://bureau42.com.au/,true,2026-06-30,UNKNOWN,UNKNOWN,Digital marketing and creative services,Owner/MD-led,UNKNOWN,Not available,40,LOW_FIT,N/A,false,EXCLUDE,None,None,MARKETING_AGENCY,12,EXCLUDED - MISPOSITIONED,Marketing agency; not advisory,Exclude from outreach; consider partnership/referral
