Company Name,Confidence Score,Confidence Tier,Website,Location Suburb,Postcode,Phone,Email,Primary Services,Founder/Leader,Years Experience,Pricing Model,Clients Served,Industries Served,Boutique Status,Team Size Estimate,ABN,LinkedIn Page,Key Differentiators,Outreach Priority
Match Point Accounting,0.95,HIGH (0.8-1.0),https://matchpointaccounting.com.au,South Perth,6151,(08) 6163 0220,info@matchpointaccounting.com.au,Fractional CFO; Virtual CFO; Interim CFO; Strategic Financial Advisory; Board Advisory,Colin Napier,35+,Daily/Weekly/Monthly/Project-Based,Unknown,Mining Services; Technology; Manufacturing; Professional Services,Yes,4-8,Unknown,linkedin.com/company/match-point-accounting/,Recent founder (2024) with ASX-listed CFO background,Tier 1
Your Financial Controller,0.93,HIGH (0.8-1.0),https://www.yourfinancialcontroller.com.au/services/fractional-cfo/,Balcatta,6021,0418 784 729,Not Listed,Interim CFO; Fractional CFO; Virtual CFO; Cash Flow Optimization; ERP Implementation,Kevin Mackmin,30+,$1500/month (no contracts),60+,SMBs in Perth & WA,Yes,6-12,36 800 355 112,Not Listed,Largest local operator (60+ businesses); transparent hourly pricing,Tier 1
360 Fox,0.92,HIGH (0.8-1.0),https://360fox.com.au/,Perth CBD,6000,+61 403 810 410,support@360fox.com.au,Fractional CFO; Outsourced CFO; Virtual CFO; Cash Flow Forecasting; Budget Planning,Karan Patel,40+ combined,$3500-$10000/month,Unknown,Construction; Trade & Contracting; Professional Services; Manufacturing; Mining; NDIS,Yes,4-8,Unknown,Not Listed,Trade and construction industry specialist; senior CFO thinking for part-time,Tier 1
OURCFO,0.91,HIGH (0.8-1.0),https://ourcfo.com.au/,Elizabeth Quay,6000,Not Listed,Via contact form,Consulting CFO Services; Outsourced Financial Solutions; Financial Strategy; Data Analysis,Greg Smargiassi,Unknown,Project-Based,Unknown,Property; Construction; Dental; Plumbing,Yes,3-6,Unknown,linkedin.com/company/ourcfo,Integrated advisor model (CFOs + data analysts); premium location,Tier 1
M2 Corporate,0.90,HIGH (0.8-1.0),https://www.m2corporate.com.au/,Mt Pleasant,6153,(08) 9468 7777,admin@m2corporate.com.au,Business Advisory; Outsourced CFO; Fractional CFO; Accounting & Taxation,Mace Turco; Lin,15+,$300+GST/hour (no contracts),Unknown,SMEs; Family Businesses,Yes,3-6,Unknown,Not Listed,Award-winning advisor; transparent hourly pricing; Xero Gold Partner,Tier 1
Metric Corporate Services,0.85,HIGH (0.8-1.0),https://metriccs.com.au/fractional-cfo,Perth,WA,Not Listed,Via contact form,Fractional CFO; Bookkeeping; Company Secretary; Strategy; Business Transformation,Not Disclosed,Unknown,Project-Based,Unknown,All SMBs,Yes,Unknown,Unknown,Not Listed,Comprehensive governance services; business transformation focus,Tier 1
CFO On Call,0.88,HIGH (0.8-1.0),https://cfooncall.com.au/,Perth (Australia-wide virtual),Various,Not Listed,Via website,Interim CFO; Virtual CFO; Interim Head of Finance; Project-based CFO,Multiple CFO partners,15+ each,Flexible Fixed-Fee,Unknown,Marine Services; Oil & Gas; Government,Yes,Network Model,Unknown,Not Listed,Niche sector focus (marine; oil & gas); 72-hour deployment,Tier 1
McKinley Plowman CFO2GO,0.87,HIGH (0.8-1.0),https://www.mckinleyplowman.com.au/services/cfo2go/,Joondalup,6027,Not Listed,Via website,CFO2GO (Part-time CFO); Management Reporting; Business Advisory; Accounting,Nigel Plowman; Murray McKinley; Ben Teti,30+ (Established 1997),Part-time/Project-Based,Unknown,All SMBs,Yes,5-10,Unknown,Not Listed,30-year operating history; part-time cost with full-time focus,Tier 1
Red Jacket Consulting,0.86,MEDIUM-HIGH (0.65-0.79),https://redjacket.net.au,Perth,WA,Not Listed,Via website,Strategic Planning & Execution; Business Improvement; People Development; Training; Risk Assessment,John McLean,25+ (Founded 2013),Project-Based,Unknown,All SMBs,Yes,Unknown,Unknown,Not Listed,Strategic planning focus; business improvement and governance training,Tier 1
Palisade Business Consulting,0.82,MEDIUM-HIGH (0.65-0.79),https://pbconsult.com.au/,Perth CBD,6000,+61 8 9328 6262,info@pbconsult.com.au,Financial Reporting; Governance; Regulatory Compliance; Business Strategy; Corporate Advisory,Not Disclosed,Unknown,Project-Based,Unknown,SMEs; Corporates,Yes,3-6,34 145 743 666,Not Listed,Distressed business support; governance and compliance focus,Tier 1
Origin Business Consultants,0.84,MEDIUM-HIGH (0.65-0.79),https://www.originbc.com.au/,West Perth,6005,(08) 6373 2562,info@originbc.com.au,Accounting & Tax; Business Advisory; CFO Services; Grant Writing; Corporate Secretarial,Jeremy Wolf; Anthony Dyson; Anthony Hawkins,15+,~$300+GST/hour,Unknown,SMEs; Startups,Yes (Indigenous-Owned),4-8,Unknown,Not Listed,Indigenous-owned; strong grant writing and R&D tax focus,Tier 1
Lothbury Advisory,0.83,MEDIUM-HIGH (0.65-0.79),https://lothbury.com.au,Mosman Park,6012,+61 (0)417 738 874,charles@lothbury.com.au,M&A; Business Sales; Capital Raising; Debt Financing; Valuations; Private Equity Transactions,Charles MacKinnon,50+,Project-Based,Unknown,SMEs; Family Businesses; Private Equity,Yes,Unknown,72 113 292 710,Not Listed,50+ years investment banking experience; M&A and corporate advisory,Tier 1
